t,x,y,z,alpha,beta,x_dot,y_dot,z_dot,alpha_dot,beta_dot,x_est,y_est,z_est,x_dot_est,y_dot_est,z_dot_est,err_x,err_y,err_z,err_x_dot,err_y_dot,err_z_dot,x_std,y_std,z_std,x_dot_std,y_dot_std,z_dot_std,bx,by,bz,bx_est,by_est,bz_est,bx_std,by_std,bz_std,nis,nees,cond_P,det_P,cond_S,det_S,runtime,filterVariant,nx,useSRformulation,RK4Iterations,updateJacobians,updateQ,cubature
0.625,0.0302155067818371,-0.0462642951778956,30.1208821205002,0.813833676492891,0.542440601637696,-0.076449852725089,-0.0194843579184918,-0.130668264397735,-3.17021096403115,14.6137603284263,-7.67358421634205,8.1353125747301,6.48202145954537,-351948.967746379,386450.515113303,-977144.436288226,-7.70379972312389,8.18157686990799,-23.6388606609548,-351948.891296527,386450.534597661,-977144.305619962,0.209396247629098,0.20937272661848,0.126392828107523,355.980654068424,355.978398043362,349.462714767723,-0.0796702356886063,-0.0390521424205656,10.4007997453234,-5.22249160995376,5.68938271551502,-12.05352838008,0.141532655767736,0.141538878321153,0.19245875423869,16604.5839432083,10076510.9985798,8071119.63594555,5.39977926039437e-26,1.84920600169694,1.48639151576029e-23,26.967,0,6,0,0,1,0,0
0.63,0.029626065549162,-0.0463049509989614,30.1204100085889,0.815065102954788,0.527924108021635,-0.162173475753776,0.00296443413680534,-0.0565855818618724,-0.800868840027092,21.6556487165736,-7.45867844105592,8.1466872719927,6.33404154486884,-350948.553296589,385699.955251777,-983024.353222827,-7.48830450660508,8.19299222299166,-23.78636846372,-350948.391123113,385699.952287343,-983024.296637246,0.209397118808283,0.209373597497691,0.126393024703254,356.775127161565,356.77287654732,350.273063825008,0.0579074767208543,0.0358653749071809,10.3575096878535,-5.21114397166517,5.62120431038217,-12.2981068368463,0.141533246429387,0.141539469010306,0.192459563577052,16835.5289904746,10113879.6518874,8106766.35819485,5.47517411870607e-26,1.84920611980448,1.48642883026664e-23,29.498,0,6,0,0,1,0,0
0.635,0.0286299453168196,-0.0462240245092336,30.1202880515461,0.81371101709549,0.505698828882365,-0.240595740695011,0.0296556481383486,0.00820756212999135,2.21036776116712,26.9344407027784,-7.55558394139193,7.85754454222327,6.3406235773723,-350046.03975444,384836.536813453,-988825.155754622,-7.58421388670875,7.9037685667325,-23.7796644741738,-350045.799158699,384836.507157805,-988825.163962184,0.209397982811031,0.209374461202941,0.126393219682933,357.561315447172,357.559070168821,351.074905475727,-0.0787110577726702,-0.160046600142796,10.4324943010485,-5.13629227117238,5.62119773197561,-12.4852665140712,0.141533832235128,0.141540054843326,0.192460366273842,17159.0414975812,10150924.8269349,8142119.76505392,5.55063851190657e-26,1.84920623717279,1.48646583896345e-23,29.02,0,6,0,0,1,0,0
0.64,0.0272692061306502,-0.0460081809377898,30.1204397297652,0.809426836345185,0.476913837527246,-0.309254878791331,0.0575021746751916,0.0519425131401787,5.37265450869234,30.4495172069703,-7.47040787101865,8.1917041553343,6.30641554412974,-349053.835322642,384194.454936383,-994616.34028798,-7.4976770771493,8.23771233627209,-23.8140241856354,-349053.526067763,384194.397434208,-994616.392230493,0.20939883968236,0.209375317779235,0.126393413056634,358.339314204668,358.33707418866,351.868339137304,0.0208523873903112,0.167358812440003,10.4341681109268,-5.17360905269705,5.5181731042655,-12.5706411458844,0.141534413215241,0.141540635850496,0.192461162370253,17098.753377236,10188318.1407028,8177181.68218163,5.62616240980257e-26,1.84920635380218,1.48650254374016e-23,27.108,0,6,0,0,1,0,0
0.645,0.025595483465352,-0.0456584970454643,30.1207408459573,0.802268313651237,0.442810724122657,-0.36677314977771,0.0837523060687875,0.0674782912200702,8.20889627122569,32.597849911961,-7.85330897515585,8.09296597939888,6.24595856632152,-348199.448480534,383390.452510573,-1000389.99483813,-7.87890445862121,8.13862447644435,-23.8747822796358,-348199.081707384,383390.368758267,-1000390.06231642,0.209399689467265,0.209376167271551,0.126393604834428,359.109217304134,359.106982478255,352.65346271187,-0.252288523625087,-0.010390424505747,10.4171200910084,-5.15211585758201,5.62884237044504,-12.6858104393854,0.141534989399997,0.141541212062089,0.192461951907467,17228.6533249439,10225759.213797,8211953.94519771,5.70173590971347e-26,1.84920646969303,1.4865389464859e-23,26.324,0,6,0,0,1,0,0
0.65,0.0236643403719661,-0.0451875936255685,30.1210450511366,0.792550921072676,0.404556181562958,-0.412969512485606,0.106478823019379,0.0531712383180714,10.3134370961867,33.4814134291778,-7.81905851284606,7.95353252973866,6.11612571385204,-347156.178762643,382566.747170615,-1006158.87500673,-7.84272285321803,7.99872012336423,-24.0049193372846,-347155.76579313,382566.640691792,-1006158.92817797,0.209400532210716,0.209377009724842,0.126393795026379,359.871117237697,359.868887531038,353.430372621195,-0.0799064416455418,-0.0681907586652863,10.3495198121566,-5.29340319559574,5.59147133159359,-12.8254695528925,0.141535560819651,0.141541783508362,0.192462734926652,17490.6574099299,10263117.5102804,8246438.3807027,5.77734923769816e-26,1.84920658484584,1.48657504908923e-23,26.803,0,6,0,0,1,0,0
0.655,0.0215342367989192,-0.0446145905566191,30.121211534157,0.780818516155753,0.36336112747242,-0.446873943047909,0.124968951201294,0.0128598619826391,11.4703701746794,33.3806741512291,-7.89844441876003,8.02083238121532,5.97600029750257,-346112.594291231,381811.432194989,-1011898.57340987,-7.91997865555895,8.06544697177194,-24.1452112366544,-346112.147417288,381811.307226037,-1011898.58626974,0.209401367957644,0.209377845184025,0.126393983642548,360.62510514991,360.622880492834,354.199163840456,-0.123952639033087,0.0263759576860929,10.2880292201368,-5.29337096187628,5.54093209572772,-13.0130955723436,0.141536127504442,0.141542350219554,0.192463511468954,17544.8900665264,10300424.7817573,8280636.82035736,5.85299274967949e-26,1.84920669926118,1.48661085343788e-23,26.498,0,6,0,0,1,0,0
0.66,0.0192684007228152,-0.0439595223096273,30.1211296556789,0.767681217432437,0.320465677070536,-0.467555033127194,0.139560594277282,-0.0453290355640133,11.7385022867364,32.4894912092729,-8.07553789141639,7.88030079945387,6.06511948684434,-345060.334363511,380971.190147673,-1017519.66302003,-8.0948062921392,7.9242603217635,-24.0560101688345,-345059.866808478,380971.050587078,-1017519.61769099,0.209402196752945,0.209378673693981,0.126394170692985,361.371270867166,361.369051191275,354.959929930909,-0.196203645705244,-0.0917179290877107,10.4414716617316,-5.33309264460637,5.56258493232461,-13.2110185447622,0.141536689484584,0.14154291222588,0.192464281575491,18051.6118410562,10336724.4969302,8314551.09035322,5.92865693246935e-26,1.84920681293971,1.48664636141856e-23,26.396,0,6,0,0,1,0,0
0.665,0.0169342592780596,-0.0432387720684282,30.120736885683,0.753603186467346,0.276977514584703,-0.474275662186252,0.151402267023504,-0.110441677016871,11.4838857803429,31.1133948679701,-7.88687546913707,8.02011433057857,5.86631720718225,-343831.028559052,380220.245871725,-1023209.66973042,-7.90380972841513,8.063353102647,-24.2544196785008,-343830.55428339,380220.094469458,-1023209.55928874,0.209403018641469,0.209379495299543,0.126394356187735,362.109702926173,362.107488164278,355.712763071494,0.0154026588977462,0.0481758080366853,10.2747201958464,-5.40757707157956,5.51463482297964,-13.253856921231,0.141537246790265,0.14154346955753,0.192465045287354,17941.9682745668,10373553.8067713,8348183.01848767,6.00433240469675e-26,1.84920692588218,1.48668157491668e-23,26.343,0,6,0,0,1,0,0
0.67,0.0145982942546532,-0.042460003938615,30.1200278934793,0.73888372377077,0.234206530350707,-0.468142646068732,0.162875817393532,-0.17074587871014,10.9116162190253,28.7520367301043,-7.84839029811311,8.01556796771257,5.8043690646524,-342616.190127516,379401.084111475,-1028812.38314789,-7.86298859236776,8.05802797165119,-24.3156588288269,-342615.72198487,379400.921235657,-1028812.21240201,0.209403833668019,0.209380310045498,0.126394540136829,362.84048860154,362.838278687635,356.457754089418,-0.00436277378511789,-0.00690608169714934,10.3047073641147,-5.3527819817665,5.56410237965485,-13.4918665301172,0.141537799451643,0.141544022244664,0.192465802645594,18301.6307729713,10409642.9944841,8381534.42658693,6.08000991764157e-26,1.84920703808944,1.48671649581615e-23,27.446,0,6,0,0,1,0,0
