t,x,y,z,alpha,beta,x_dot,y_dot,z_dot,alpha_dot,beta_dot,x_est,y_est,z_est,alpha_est,beta_est,x_dot_est,y_dot_est,z_dot_est,alpha_dot_est,beta_dot_est,err_x,err_y,err_z,err_alpha,err_beta,err_x_dot,err_y_dot,err_z_dot,err_alpha_dot,err_beta_dot,x_std,y_std,z_std,alpha_std,beta_std,x_dot_std,y_dot_std,z_dot_std,alpha_dot_std,beta_dot_std,bx,by,bz,bx_est,by_est,bz_est,bx_std,by_std,bz_std,nis,nees,cond_P,det_P,cond_S,det_S,runtime,filterVariant,nx,useSRformulation,RK4Iterations,updateJacobians,updateQ,cubature
0.27,0.282835134476633,-0.308329734921929,30.0909169357043,5.3807460962559,4.89967594289214,-1.75578103483543,1.21610125369232,6.07747834502729,84.1426031141444,110.838213843753,-2182.95973912646,-662.224487084982,-748.632859048516,-4612005.52882645,-9314.59020040461,-10557.6194412822,-2972.87430497293,-4856.85446494607,-22619507.2376167,6355488.23852156,-2183.24257426094,-661.916157350061,-778.72377598422,-4612010.90957255,-9319.4898763475,-10555.8636602474,-2974.09040622662,-4862.9319432911,-22619591.3802199,6355377.40030771,58.2270804349062,52.7174983019115,94.5309361497501,8799.31664151845,52844.400667496,465.931567949632,450.63016519442,616.04394965878,62094.808721123,340102.111188135,-0.336536723662009,0.323666696419012,10.3837439902466,-0.540321906427721,0.457374598020976,21.9360556891388,0.100014540001528,0.10002059051427,0.101750577498003,12896.4096287099,1238640.14824377,181864682.821428,2.14814642987746,1.03566915412912,1.03602955728744e-24,859.552,2,10,0,0,1,0,0
0.275,0.274070286007721,-0.302145768030201,30.1211660896121,5.27488213465391,4.74904382488184,-1.78088902884406,1.28013731012695,5.91949640810239,97.3037687561879,116.211517784505,-2211.19604209282,-681.427542228135,-767.721374000237,-4714315.23663224,-63335.342407823,-10442.0864718758,-2995.71068118944,-4879.10733327472,-22482984.5201336,5579333.35738766,-2211.47011237883,-681.125396460104,-797.842540089849,-4714320.51151438,-63340.0914516479,-10440.3055828469,-2996.99081849957,-4885.02682968282,-22483081.8239024,5579217.14586988,60.2572757733371,54.6819149112421,97.3709163822452,9087.94665615645,54462.4749094033,471.265380506056,456.144115576489,620.088739067163,63469.3258996486,342367.00356479,-0.172664291812069,0.543982607975444,10.4930410623188,-0.475025922121119,0.471168411372958,21.9311071666652,0.123276220836563,0.104219691554986,0.100482007990556,13042.037194107,1216016.11700015,171487137.160589,3.67807661973618,1.61495138126079,1.61580164304222e-24,877.541,2,10,0,0,1,0,0
0.28,0.26518174699476,-0.295664077752389,30.1491903772469,5.15936829585248,4.59324693881527,-1.80576292281343,1.33663422942975,5.1955455463122,104.669496441059,118.627930204159,-2260.55607715699,-696.479418499628,-789.00911203095,-4824558.49459258,-45783.0743273614,-10427.9164158152,-2995.84308303248,-4912.59393442311,-22430261.0828619,5632109.32724414,-2260.82125890399,-696.183754421876,-819.158302408197,-4824563.65396088,-45787.6675743002,-10426.1106528924,-2997.17971726191,-4917.78947996942,-22430365.7523584,5631990.69931394,62.3108483932261,56.6700455746721,100.226339896201,9380.03827710461,56088.2183408191,476.540430308214,461.592283560403,624.107299432722,63344.2410864812,341807.44687906,-0.392559440855162,0.109695371047526,10.3844753574187,-0.505877607668737,0.443532824689896,21.9340989378907,0.100383181250851,0.100036392216243,0.101646959013706,12927.0130781528,1191527.98756998,159315040.742206,5.05983264438381,1.04125144909556,1.0416275207403e-24,858.661,2,10,0,0,1,0,0
0.285,0.256185267407684,-0.288936005803371,30.1724391519549,5.03605722683004,4.43277811538916,-1.8242819548565,1.37952311320231,4.02575410665326,106.10829464863,118.203958010464,-2307.86739735053,-712.473500011315,-813.424060170355,-4934872.09806415,-34751.5165806052,-10405.5742289359,-3000.54061759891,-4962.01420978519,-22557097.2390342,6416562.14900522,-2308.12358261794,-712.184564005512,-843.59649932231,-4934877.13412138,-34755.9493587205,-10403.7499469811,-3001.92014071211,-4966.03996389185,-22557203.3473289,6416443.94504721,64.3871807176262,58.681597968757,103.097131194368,9672.97673700556,57716.8527603963,481.758061848357,466.976900866796,628.100207451277,63856.0894209756,344342.614129187,-0.267652796944203,0.551577549883482,10.5898848163219,-0.482135226139491,0.440095101481575,21.900047020381,0.102400245621041,0.100611740777909,0.102048700649613,12292.1133508271,1196568.3342467,150915969.694428,7.5494295926633,1.10191724407037,1.10226939838948e-24,889.443,2,10,0,0,1,0,0
0.29,0.247120951287929,-0.282029483200391,30.1890493096144,4.90733205971283,4.26881140698105,-1.83280753072864,1.40825371948917,2.56261856646001,102.819765742725,115.50058526148,-2374.84595907663,-724.774964299001,-841.163252170666,-5054302.24836038,50817.4457768344,-10470.1816914442,-2987.03542327944,-5024.15085027108,-22371172.250205,6222514.42513814,-2375.09308002791,-724.4929348158,-871.352301480281,-5054307.15569244,50813.1769654274,-10468.3488839135,-2988.44367699893,-5026.71346883754,-22371275.0699708,6222398.92455288,66.4857040166161,60.716293520922,105.98321537324,9968.37592489844,59349.0790210845,486.918781357106,472.300140557624,632.067902422548,64971.7807407906,346368.133563372,-0.316409945059021,0.354670971842785,10.4295909023543,-0.509817500109477,0.413203776759019,21.8927098899258,0.106843434078888,0.100767598962306,0.101437373735696,12844.2388365566,1083662.59377737,142760492.76449,13.3924186351502,1.1854824943638,1.18597542529691e-24,878.072,2,10,0,0,1,0,0
0.295,0.238039710936258,-0.275001884915575,30.1979621448705,4.7763989315203,4.10403978835927,-1.83056802578312,1.42765197899899,0.9727259754491,94.2396238022715,108.305371686533,-2432.34104955235,-739.021397594149,-868.758277024684,-5169023.51178311,100878.568410859,-10492.2275251851,-2983.783270508,-5084.16085110738,-22283618.3049276,5848905.52454057,-2432.57908926329,-738.746395709234,-898.956239169554,-5169028.28818204,100874.464371071,-10490.3969571593,-2985.210922487,-5085.13357708283,-22283712.5445514,5848797.21916888,68.6066739180299,62.7738870206363,108.88454250807,10265.3599247498,60994.9865293225,492.026563366674,477.564028064065,636.010842456324,65942.7621726189,350148.390472937,-0.171372365408228,0.412563842295321,10.6689555913567,-0.487675063670423,0.403285465459646,21.8992219772645,0.103390601149077,0.100596028968161,0.100351978452322,12524.9344748637,1076569.77428112,136591226.783252,21.5864337526974,1.08765444452886,1.08798783340096e-24,881.329,2,10,0,0,1,0,0
0.3,0.229026293455916,-0.267911007603442,30.1989481885883,4.64516939702846,3.94069243733153,-1.80482149341471,1.43292554906002,-0.581516119259331,85.4975119855037,100.720964082666,-2500.43662342363,-751.213152268822,-898.133465650371,-5287849.89169286,187120.824972262,-10558.1577497546,-2971.16368522594,-5150.60018492702,-22230981.0811991,5679553.41841211,-2500.66564971709,-750.945241261218,-928.332413838959,-5287854.53686226,187116.884279825,-10556.3529282612,-2972.596610775,-5150.01866880776,-22231066.5787111,5679452.69744803,70.7494650392283,64.8541149629076,111.801026736334,10563.7528672491,62642.8322153203,497.081354169186,482.770521680193,639.929513065765,66144.2254831798,350973.043267858,-0.380037168178585,0.135931848873692,10.3686815806857,-0.502208097319823,0.376173853851469,21.8967835662625,0.12112544870805,0.104759608527072,0.102329253625537,12904.8775639718,1073099.0978751,128745761.974087,28.9224853855161,1.61128209870057,1.61189254746386e-24,854.666,2,10,0,0,1,0,0
0.305,0.220175975603495,-0.260794913763239,30.1925536344733,4.51441857803131,3.78066538108063,-1.76422556193942,1.43705201053379,-1.95477047190624,77.5490677637777,92.4047850193479,-2549.35079577635,-766.346054430039,-920.455485011188,-5396195.94587563,200859.235894116,-10542.4877312843,-2972.66784112801,-5184.31498544291,-22241596.2273955,5518363.42632479,-2549.57097175196,-766.085259516276,-950.648038645661,-5396200.46029421,200855.455228735,-10540.7235057224,-2974.10489313855,-5182.360214971,-22241673.7764632,5518271.02153977,72.9141494156253,66.9567437506817,114.732609204981,10864.2948618692,64298.0486304858,502.085486393782,487.921488201845,643.824273190613,66033.4509816275,350303.048273748,-0.256959892268392,0.233438036152256,10.4809497434069,-0.423749928117445,0.393935747311502,21.8674130883301,0.10257983275278,0.100663982183902,0.100090192259174,12946.7405270158,957212.147904797,120430278.765057,49.0764860505444,1.0670785726818,1.06740440189389e-24,860.924,2,10,0,0,1,0,0
0.31,0.211552024329555,-0.25364350443492,30.1799809329947,4.38432640607979,3.62585352319764,-1.71299611688895,1.44650927569908,-3.03199629080941,71.2179229539981,83.4484231755186,-2599.72447489374,-781.629568230928,-945.666432371532,-5506192.20669596,219515.867994734,-10531.4967726424,-2973.99578167939,-5229.57504955753,-21990677.8939127,5044029.88771569,-2599.93602691806,-781.375924726494,-975.846413304526,-5506196.59102237,219512.242141211,-10529.7837765256,-2975.44229095509,-5226.54305326672,-21990749.1118356,5043946.43929251,75.0998482633917,69.0815157394993,117.6792077844,11164.2192886905,65945.2433620917,507.038937443855,493.018597954919,647.695650704482,66336.1297747682,350945.003712307,-0.194562923744063,0.254726140409116,10.2908191529813,-0.411203006894567,0.384930170508113,21.8254942228668,0.102352509686615,0.101322126342669,0.111829500882115,10771.0543374229,957977.247617392,113732578.867859,65.0327558304912,1.32427409122086,1.32493339502711e-24,859.462,2,10,0,0,1,0,0
0.315,0.203203761648741,-0.246429236958025,30.1629163223865,4.25433953892668,3.47748954793203,-1.65259415540205,1.46193209230824,-3.73632106953229,67.882391650232,75.3620408186149,-2657.1044362839,-795.4647238858,-971.6099129071,-5617855.50260724,261682.789110997,-10551.5761824697,-2969.96646006824,-5278.04111363839,-22151608.8787525,5276803.47294916,-2657.30764004555,-795.218294648842,-1001.77282922949,-5617859.75694678,261679.311621449,-10549.9235883143,-2971.42839216055,-5274.30479256886,-22151676.7611441,5276728.11090834,77.307180098088,71.2282311598995,120.640777534177,11466.9608206381,67605.0452521898,511.945386105354,498.063564160651,651.543982844785,66364.2959584872,350346.113749278,-0.129511763129194,0.314749542550607,10.3518352337918,-0.408580503137301,0.365109196316382,21.8339746788843,0.100255370913316,0.100181528018049,0.103871095557168,12225.2340420931,923601.349784974,106803969.822327,87.2677879809352,1.08728983499255,1.08769180726245e-24,924.612,2,10,0,0,1,0,0
0.32,0.19516374191582,-0.239121467880421,30.1433292692208,4.12363797034444,3.33616786197932,-1.58837678450704,1.48398457088817,-4.03231179644342,67.3991371244468,68.499043674872,-2707.24142027047,-810.337610276323,-994.737330998869,-5726291.24243511,277606.561204223,-10541.5556326379,-2970.1375374188,-5313.2721044092,-22125442.4259663,5084310.42458869,-2707.43658401239,-810.098488808443,-1024.88066026809,-5726295.36607308,277603.225036361,-10539.9672558534,-2971.62152198969,-5309.23979261276,-22125509.8251034,5084241.92554501,79.5358085823361,73.3966634691325,123.617253209171,11770.7498091996,69268.9400624353,516.805748170007,503.057952442586,655.369802072432,66717.0989517022,353099.981217649,-0.0755790669598911,0.0958006140544782,10.3473075844,-0.390000102591159,0.352002635736426,21.8524616211653,0.10128036091886,0.10011011568091,0.100085137896935,13234.6722076753,909231.960672926,102257686.836331,132.192666974071,1.02937058100003,1.02968420191668e-24,902.184,2,10,0,0,1,0,0
0.325,0.187442723518775,-0.231696346443536,30.1232641742764,3.99157254910951,3.20195045114451,-1.52378298365057,1.50924540407012,-3.92574714341702,69.3632440456936,63.2965735518027,-2775.56853059317,-822.52112818256,-1025.76325888384,-5844807.24456188,361840.506473646,-10601.5301940498,-2959.2183955483,-5379.59368154103,-22034506.5830827,4439375.27662239,-2775.75597331669,-822.289431836117,-1055.88652305812,-5844811.23613443,361837.304523195,-10600.0064110662,-2960.72764095237,-5375.66793439761,-22034575.9463268,4439311.98004884,81.7852006508025,75.5865862856619,126.608562620958,12077.0718896133,70936.7817472585,521.620472814326,508.00322963508,659.173380212578,66885.2541342212,354681.373223709,-0.212413280888894,0.300704233914037,10.4318571379164,-0.438293298635983,0.313254170723809,21.8721880935391,0.121284001385178,0.10546536948002,0.105503100671305,12150.0979767322,902337.375122573,97414816.9362218,178.817354341641,1.69592096388306,1.69655625667038e-24,887.559,2,10,0,0,1,0,0
0.33,0.180037353100134,-0.224151143627662,30.1046437185584,3.85789901839549,3.07451295045761,-1.4610620860946,1.53257821405378,-3.45920144889574,72.8398976746526,59.740353946909,-2830.73361191218,-836.986443067516,-1053.51152570553,-5956165.74836675,392122.140342387,-10609.398396769,-2957.72361551199,-5432.11294567743,-22021980.8409728,4592383.82346608,-2830.91364926528,-836.762291923889,-1083.61616942409,-5956169.60626577,392119.065829436,-10607.9373346829,-2959.25619372604,-5428.65374422854,-22022053.6808704,4592324.08311213,84.055467413959,77.7978019689991,129.614645757713,12385.1899515909,72612.9120405446,526.391401366833,512.900847047788,662.955155362165,66957.9497591991,354904.1013528,-0.361816843796938,0.123439585377603,10.474817979495,-0.379775852692887,0.325498982629568,21.8417614059945,0.10001134261573,0.100005058702722,0.100691940459714,12747.9442456009,895083.699147718,92241891.246863,231.060074974357,1.01390513259136,1.01421765631118e-24,855.167,2,10,0,0,1,0,0
0.335,0.172937553261937,-0.216511238883851,30.0891003748973,3.72297141597124,2.95336673950071,-1.40065633255287,1.5477229710866,-2.70525875308821,76.845045829281,57.6939125050288,-2863.31307344715,-855.296272056507,-1075.11691814383,-6055941.68409635,337449.820918108,-10533.7474995998,-2971.66597735679,-5459.17251398794,-21872207.5590922,4091765.16155759,-2863.48601100041,-855.079760817623,-1105.20601851872,-6055945.40706777,337446.867551368,-10532.3468432672,-2973.21370032788,-5456.46725523485,-21872284.404138,4091707.46764508,86.3459602553698,80.0300924112549,132.635430554861,12694.4442573079,74289.0078776285,531.118894733953,517.752104797497,666.715409053771,67596.6434953909,354259.423673501,-0.279151030748206,0.24296134012239,10.4040108068781,-0.328591552754887,0.329556254321517,21.8627831955018,0.115109425754079,0.102259682624895,0.100762269063448,12987.5667430991,845161.340078116,87041690.855415,347.709019899688,1.38557773453259,1.38614474103131e-24,854.646,2,10,0,0,1,0,0
0.34,0.166133383245879,-0.208830963344717,30.0778487965299,3.58757331462782,2.83787675002365,-1.34204929338306,1.54921117189124,-1.75706788416773,80.6337943155748,56.9734564806565,-2918.75223461224,-869.97400349729,-1104.95172699738,-6167453.84854672,368983.976455476,-10543.8302633197,-2971.00225690586,-5517.89540451065,-21850230.0638327,3968872.58374448,-2918.91836799548,-869.765172533946,-1135.02957579391,-6167457.43612004,368981.138578726,-10542.4882140263,-2972.55146807775,-5516.13833662648,-21850310.697627,3968815.610288,88.6571245546874,82.2832808396378,135.670880793738,13005.6561448863,75969.95915647,535.805314479184,522.558359216506,670.454646513817,67945.2451584378,355725.378322062,-0.30396787081278,0.293636650484181,10.3347063570778,-0.373488093224239,0.298416211975905,21.8639404133683,0.101960433503667,0.100295172862153,0.100167860206036,13248.4555920846,847124.001916625,83162372.5386902,460.179069602224,1.04855842022076,1.04887502825941e-24,922.848,2,10,0,0,1,0,0
0.345,0.159613963052672,-0.201184683939823,30.0716075154154,3.45293432788405,2.7275417935036,-1.28608216081181,1.5343506491573,-0.718228203670107,82.7261048621187,56.6085683080981,-2974.13279424258,-884.412997715371,-1133.34658677912,-6278073.79738308,398823.677526121,-10555.7060093228,-2970.36858374166,-5569.12772827561,-21869442.215362,2751375.08708142,-2974.29240820564,-884.211813031431,-1163.41819429454,-6278077.2503174,398820.949984327,-10554.4199271619,-2971.90293439082,-5568.40950007194,-21869524.9414669,2751318.47851311,90.9880645451069,84.5571527281004,138.720902592052,13318.1825161297,77649.3886197143,540.450122602215,527.320787023217,674.173064365901,67712.0252853343,356089.339449367,0.0436283736654505,0.253727141275034,10.4560715316067,-0.34056583207942,0.302657361002545,21.8344386589706,0.101049762780337,0.100804347796062,0.109976388456454,10744.3273733227,805014.07900535,79020844.6441611,656.986725277937,1.24626740586149,1.24682271334864e-24,857.826,2,10,0,0,1,0,0
0.35,0.153368227021018,-0.193661301164598,30.0705721617681,3.32113361646695,2.62228994408994,-1.23190849821783,1.49986166142723,0.307519052370288,81.8190636311376,55.7566610860845,-3040.28243840722,-896.758029914385,-1163.73268147285,-6393843.13892836,463883.1096103,-10602.221153662,-2960.90057584896,-5627.14842464767,-21813569.889567,2545379.71703723,-3040.43580663424,-896.564368613221,-1193.80325363461,-6393846.46006197,463880.487320356,-10600.9892451638,-2962.40043751039,-5627.45594370004,-21813651.7086307,2545323.96037615,93.339325531517,86.8515448021282,141.785467655732,13631.2440064043,79335.2261901415,545.056149939457,532.040600303285,677.871157613191,67892.6892488568,356511.951900923,-0.246932292335782,0.322113622554876,10.4607404594016,-0.383905273338314,0.264183015181274,21.8894822139646,0.115905954637931,0.103792763974847,0.102392996408208,12599.0826544475,806892.841888539,75236308.8844841,832.565812723137,1.46876036975703,1.4692567494387e-24,853.644,2,10,0,0,1,0,0
0.355,0.147389940043459,-0.186368216700758,30.0744377901177,3.19438009094622,2.52195704420357,-1.17841080560805,1.44154881605425,1.22543796491515,78.5385141547384,54.7592331044945,-3091.95732084242,-911.848120896188,-1191.65883749899,-6502257.63207885,471247.200973422,-10599.5697232537,-2962.67668610918,-5675.92784520513,-22113807.2106684,2712062.6395267,-3092.10471078246,-911.661752679488,-1221.73327528911,-6502260.82645894,471244.679016378,-10598.3913124481,-2964.11823492524,-5677.15328317005,-22113885.7491825,2712007.88029359,95.7102050044252,89.1662587105729,144.864493782471,13945.4198746905,81020.3547357534,549.623098170024,536.718898297401,681.54913399783,68028.6267384236,355809.253744232,-0.1044844054345,0.307053352798785,10.4020911827303,-0.316339987687542,0.285638489931017,21.8488364662335,0.103155607664772,0.101407748451926,0.109673847432816,11009.1420861325,755004.974128026,71263788.4535896,1155.40686931102,1.2948697494305,1.29538382678266e-24,859.529,2,10,0,0,1,0,0
