Time,x,y,z,alpha,beta,gamma,xdot,ydot,zdot,alphadot,betadot,gammadot,u1,u2,u3,u4
7.71771771771772,1.03855873738906e-09,-8.0775042345992e-10,0.036501894324389,1.39712295117283e-08,1.76731553501998e-08,0.546228339250474,1.14898801203097e-09,-1.31458308058673e-09,-6.5014910498142e-11,2.26755830827407e-08,1.93669031840245e-08,0.0699451727289794,-1.43105496892519e-06,1.08774182281431e-06,1.43040395006133e-06,-1.08839284167817e-06
7.72772772772773,1.05235778073227e-09,-8.25147049707766e-10,0.0365018943235128,1.42711750047975e-08,1.79050138677656e-08,0.546928491125569,1.16270503946583e-09,-1.33878491869373e-09,-6.62864428305658e-11,2.309234388557e-08,1.95942474499777e-08,0.0699451727073011,-1.45104033642369e-06,1.11088375030906e-06,1.45037658567488e-06,-1.11154750105787e-06
7.73773773773774,1.06615682407547e-09,-8.42543675955611e-10,0.0365018943226366,1.45711204978667e-08,1.81368723853314e-08,0.547628643000664,1.17642206690068e-09,-1.36298675680074e-09,-6.75579751629897e-11,2.35091046883992e-08,1.9821591715931e-08,0.0699451726856227,-1.47102570392219e-06,1.13402567780381e-06,1.47034922128842e-06,-1.13470216043757e-06
7.74774774774775,1.07995586741867e-09,-8.59940302203457e-10,0.0365018943217605,1.48710659909358e-08,1.83687309028972e-08,0.548328794875759,1.19013909433553e-09,-1.38718859490774e-09,-6.88295074954136e-11,2.39258654912284e-08,2.00489359818842e-08,0.0699451726639444,-1.49101107142069e-06,1.15716760529855e-06,1.49032185690197e-06,-1.15785681981727e-06
7.75775775775776,1.09375491076187e-09,-8.77336928451302e-10,0.0365018943208843,1.5171011484005e-08,1.8600589420463e-08,0.549028946750855,1.20385612177038e-09,-1.41139043301474e-09,-7.01010398278375e-11,2.43426262940576e-08,2.02762802478374e-08,0.069945172642266,-1.51099643891924e-06,1.18030953279324e-06,1.51029449251546e-06,-1.18101147919703e-06
7.76776776776777,1.10755395410507e-09,-8.94733554699148e-10,0.0365018943200082,1.54709569770742e-08,1.88324479380288e-08,0.54972909862595,1.21757314920523e-09,-1.43559227112174e-09,-7.13725721602614e-11,2.47593870968868e-08,2.05036245137907e-08,0.0699451726205877,-1.53098180641774e-06,1.20345146028799e-06,1.53026712812901e-06,-1.20416613857672e-06
7.77777777777778,1.12135299744827e-09,-9.12130180946993e-10,0.036501894319132,1.57709024701434e-08,1.90643064555946e-08,0.550429250501045,1.23129017664009e-09,-1.45979410922875e-09,-7.26441044926853e-11,2.5176147899716e-08,2.07309687797439e-08,0.0699451725989094,-1.55096717391625e-06,1.22659338778274e-06,1.55023976374256e-06,-1.22732079795643e-06
7.78778778778779,1.13515204079147e-09,-9.29526807194839e-10,0.0365018943182558,1.60708479632126e-08,1.92961649731604e-08,0.55112940237614,1.24500720407494e-09,-1.48399594733575e-09,-7.39156368251092e-11,2.55929087025452e-08,2.09583130456971e-08,0.069945172577231,-1.57095254141475e-06,1.24973531527748e-06,1.57021239935611e-06,-1.25047545733612e-06
7.7977977977978,1.14895108413467e-09,-9.46923433442684e-10,0.0365018943173797,1.63707934562817e-08,1.95280234907262e-08,0.551829554251235,1.25872423150979e-09,-1.50819778544275e-09,-7.51871691575331e-11,2.60096695053744e-08,2.11856573116504e-08,0.0699451725555527,-1.5909379089133e-06,1.27287724277218e-06,1.5901850349696e-06,-1.27363011671588e-06
7.80780780780781,1.16275012747787e-09,-9.64320059690529e-10,0.0365018943165035,1.66707389493509e-08,1.9759882008292e-08,0.55252970612633,1.27244125894464e-09,-1.53239962354976e-09,-7.6458701489957e-11,2.64264303082036e-08,2.14130015776036e-08,0.0699451725338743,-1.6109232764118e-06,1.29601917026692e-06,1.61015767058315e-06,-1.29678477609558e-06
7.81781781781782,1.17654917082107e-09,-9.81716685938375e-10,0.0365018943156273,1.69706844424201e-08,1.99917405258578e-08,0.553229858001426,1.2861582863795e-09,-1.55660146165676e-09,-7.77302338223809e-11,2.68431911110328e-08,2.16403458435569e-08,0.069945172512196,-1.6309086439103e-06,1.31916109776167e-06,1.63013030619669e-06,-1.31993943547528e-06
7.82782782782783,1.19034821416428e-09,-9.99113312186221e-10,0.0365018943147512,1.72706299354893e-08,2.02235990434236e-08,0.553930009876521,1.29987531381435e-09,-1.58080329976376e-09,-7.90017661548048e-11,2.7259951913862e-08,2.18676901095101e-08,0.0699451724905177,-1.65089401140881e-06,1.34230302525642e-06,1.65010294181024e-06,-1.34309409485498e-06
7.83783783783784,1.20414725750748e-09,-1.01650993843407e-09,0.036501894313875,1.75705754285585e-08,2.04554575609894e-08,0.554630161751616,1.3135923412492e-09,-1.60500513787077e-09,-8.02732984872287e-11,2.76767127166912e-08,2.20950343754633e-08,0.0699451724688393,-1.67087937890736e-06,1.36544495275111e-06,1.67007557742374e-06,-1.36624875423473e-06
7.84784784784785,1.21794630085068e-09,-1.03390656468191e-09,0.0365018943129989,1.78705209216276e-08,2.06873160785552e-08,0.555330313626711,1.32730936868405e-09,-1.62920697597777e-09,-8.15448308196526e-11,2.80934735195205e-08,2.23223786414166e-08,0.069945172447161,-1.69086474640586e-06,1.38858688024585e-06,1.69004821303729e-06,-1.38940341361443e-06
7.85785785785786,1.23174534419388e-09,-1.05130319092976e-09,0.0365018943121227,1.81704664146968e-08,2.09191745961209e-08,0.556030465501806,1.3410263961189e-09,-1.65340881408477e-09,-8.28163631520765e-11,2.85102343223497e-08,2.25497229073698e-08,0.0699451724254826,-1.71085011390436e-06,1.4117288077406e-06,1.71002084865083e-06,-1.41255807299413e-06
7.86786786786787,1.24554438753708e-09,-1.0686998171776e-09,0.0365018943112465,1.8470411907766e-08,2.11510331136867e-08,0.556730617376901,1.35474342355376e-09,-1.67761065219177e-09,-8.40878954845004e-11,2.89269951251789e-08,2.2777067173323e-08,0.0699451724038043,-1.73083548140286e-06,1.43487073523535e-06,1.72999348426438e-06,-1.43571273237383e-06
7.87787787787788,1.25934343088028e-09,-1.08609644342545e-09,0.0365018943103704,1.87703574008352e-08,2.13828916312525e-08,0.557430769251997,1.36846045098861e-09,-1.70181249029878e-09,-8.53594278169243e-11,2.93437559280081e-08,2.30044114392763e-08,0.069945172382126,-1.75082084890142e-06,1.45801266273004e-06,1.74996611987787e-06,-1.45886739175359e-06
7.88788788788789,1.27314247422348e-09,-1.10349306967329e-09,0.0365018943094942,1.90703028939044e-08,2.16147501488183e-08,0.558130921127092,1.38217747842346e-09,-1.72601432840578e-09,-8.66309601493482e-11,2.97605167308373e-08,2.32317557052295e-08,0.0699451723604476,-1.77080621639992e-06,1.48115459022478e-06,1.76993875549142e-06,-1.48202205113329e-06
