Timestamp,MagX,MagY,MagZ,dMagX,dMagY,PWM_X,PWM_Y,CurrXPos,CurrXNeg,CurrYPos,CurrYNeg
12783420,-0.0203,-0.3848,-18.8900,17.1987,30.9289,-14.36,22.95,-0.1473,0.1667,-0.6376,0.7817
12802590,-0.1278,-0.3527,-18.7496,-18.9665,12.9803,36.85,36.40,-0.1731,0.1989,-0.4247,0.5086
12821760,-0.1876,-0.3630,-18.7241,-31.5718,1.9969,57.83,48.83,-0.2849,0.3301,-0.3602,0.4355
12840929,-0.2082,-0.2690,-18.8357,-9.6872,13.9243,38.84,23.74,-0.0570,0.0871,-0.2462,0.3301
12860100,-0.2190,-0.2762,-19.2560,-11.0638,-2.2868,41.72,40.96,-0.2591,0.2871,-0.4527,0.3731
12879270,-0.3148,-0.2213,-18.9269,-2.2270,0.6311,46.30,30.35,-0.6290,0.6462,-0.1473,0.2226
12898440,-0.3091,-0.3077,-19.4324,-3.6472,-65.6562,46.93,108.74,-0.4419,0.4376,-0.3753,0.1860
12917610,-0.3065,-0.0876,-18.8263,1.7918,18.3807,41.12,-6.11,-0.2785,0.2914,0.1710,-0.0183
12936781,-0.1430,-0.2467,-19.2177,59.4342,-21.6580,-39.41,56.20,0.1559,-0.1516,-0.1753,0.2247
12955952,-0.2941,-0.2065,-19.1612,38.6432,-18.1859,2.53,47.10,-0.6398,0.6140,-0.1839,0.2032
12975122,-0.3294,-0.0333,-19.2837,11.5444,-15.2814,34.57,19.94,-0.3323,0.3237,-0.2763,0.3495
12994292,-0.3113,-0.1729,-19.1237,-1.1353,15.8146,44.71,8.39,-0.2484,0.2247,-0.2312,0.2204
13013462,-0.2907,-0.1054,-19.3006,-3.4197,2.1294,44.11,12.62,-0.1925,0.2118,-0.3323,0.2247
13032633,-0.3087,-0.0547,-18.9130,6.9148,-71.7305,36.30,79.39,-0.4978,0.4914,0.0441,-0.0118
13051803,-0.3226,-0.1938,-18.9404,-10.7890,-1.9986,55.96,29.12,-0.3258,0.3581,-0.2140,0.2785
13070972,-0.3043,-0.1123,-19.1147,-19.8284,-19.2925,62.43,35.02,-0.3946,0.4355,-0.2505,0.3215
